episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_abs_comfort_penalty,std_abs_comfort_penalty,mean_abs_energy_penalty,std_abs_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated,PolicySeed,EvalSeed,LearningRate,Climate
2,-0.1674950620615215,0.1236737006052512,-0.0184032454160011,0.0607313088290128,-0.1490918166455203,0.1225179941563439,-0.0368064908320022,0.1214626176580257,-2981.836332910408,2450.359883126878,0.0368064908320022,0.1214626176580257,2981.836332910408,2450.359883126878,104483545.1051807,13.247716894977168,35040,8760.125,False,True,88,133,LR0001,Hot
3,-0.1677366540668242,0.1242130204953095,-0.0183328102583204,0.0604765457407359,-0.1494038438085037,0.1232276295434278,-0.0366656205166408,0.1209530914814718,-2988.076876170075,2464.552590868556,0.0366656205166408,0.1209530914814718,2988.076876170075,2464.552590868556,104702213.74099945,13.190639269406391,35040,8760.125,False,True,88,133,LR0001,Hot
4,-0.1674965787827767,0.1241995997128852,-0.0181268772553263,0.0604174944931329,-0.1493697015274503,0.1230398116834994,-0.0362537545106527,0.1208349889862658,-2987.394030549007,2460.7962336699875,0.0362537545106527,0.1208349889862658,2987.394030549007,2460.7962336699875,104678286.8304372,13.12785388127854,35040,8760.125,False,True,88,133,LR0001,Hot
5,-0.1680432150643849,0.1246489908145575,-0.0182837463508291,0.0604674626563066,-0.1497594687135558,0.1237186469298364,-0.0365674927016582,0.1209349253126133,-2995.189374271117,2474.372938596728,0.0365674927016582,0.1209349253126133,2995.189374271117,2474.372938596728,104951435.67445992,13.119292237442922,35040,8760.125,False,True,88,133,LR0001,Hot
6,-0.1676474459971725,0.124569885754972,-0.0181515623321543,0.0601319643259936,-0.1494958836650182,0.1235434031529032,-0.0363031246643086,0.1202639286519872,-2989.9176733003646,2470.8680630580643,0.0363031246643086,0.1202639286519872,2989.9176733003646,2470.8680630580643,104766715.27244475,13.122146118721462,35040,8760.125,False,True,88,133,LR0001,Hot
7,-0.1677152873549027,0.1245018637343792,-0.0183734220553906,0.0609206621282097,-0.1493418652995121,0.1233603040677293,-0.0367468441107812,0.1218413242564195,-2986.8373059902424,2467.2060813545863,0.0367468441107812,0.1218413242564195,2986.8373059902424,2467.2060813545863,104658779.2018981,13.153538812785389,35040,8760.125,False,True,88,133,LR0001,Hot
8,-0.1674014176189623,0.1245519572585776,-0.0185642834266652,0.0612947529700634,-0.148837134192297,0.1233381370128415,-0.0371285668533305,0.1225895059401268,-2976.7426838459405,2466.7627402568296,0.0371285668533305,0.1225895059401268,2976.7426838459405,2466.7627402568296,104305063.64196175,13.216324200913244,35040,8760.125,False,True,88,133,LR0001,Hot
9,-0.167741592787018,0.1238543356955594,-0.0183811048586387,0.0608287791949657,-0.1493604879283793,0.1227306543471252,-0.0367622097172775,0.1216575583899315,-2987.2097585675856,2454.6130869425037,0.0367622097172775,0.1216575583899315,2987.2097585675856,2454.6130869425037,104671829.9402082,13.230593607305934,35040,8760.083333333334,False,True,88,133,LR0001,Hot
10,-0.1677925382814891,0.1245403536299613,-0.0181960508018006,0.0604728259495039,-0.1495964874796884,0.1234527068957525,-0.0363921016036013,0.1209456518990078,-2991.92974959377,2469.054137915052,0.0363921016036013,0.1209456518990078,2991.92974959377,2469.054137915052,104837218.4257657,13.093607305936072,35040,8760.125,False,True,88,133,LR0001,Hot
11,-0.1675534149999029,0.123800173353117,-0.0182507177433272,0.0601322694143335,-0.1493026972565757,0.1227623009739203,-0.0365014354866545,0.1202645388286671,-2986.053945131514,2455.246019478407,0.0365014354866545,0.1202645388286671,2986.053945131514,2455.246019478407,104631330.23740824,13.187785388127852,35040,8760.125,False,True,88,133,LR0001,Hot
12,-0.1671460181595378,0.1243283892990775,-0.0181448819097737,0.0601511190699725,-0.149001136249764,0.1232364631385166,-0.0362897638195475,0.120302238139945,-2980.022724995282,2464.7292627703337,0.0362897638195475,0.120302238139945,2980.022724995282,2464.7292627703337,104419996.28383464,13.253424657534246,35040,8760.083333333334,False,True,88,133,LR0001,Hot
13,-0.1680949996181583,0.1241719254147987,-0.0186083121215818,0.0611270493393378,-0.1494866874965765,0.1230854388758568,-0.0372166242431636,0.1222540986786756,-2989.7337499315295,2461.7087775171376,0.0372166242431636,0.1222540986786756,2989.7337499315295,2461.7087775171376,104760270.5976008,13.3675799086758,35040,8760.125,False,True,88,133,LR0001,Hot
14,-0.1678364482309647,0.124478061767505,-0.0186071259935015,0.0616388940254906,-0.1492293222374631,0.1232227765336047,-0.0372142519870031,0.1232777880509812,-2984.5864447492636,2464.455530672095,0.0372142519870031,0.1232777880509812,2984.5864447492636,2464.455530672095,104579909.0240142,13.253424657534246,35040,8760.125,False,True,88,133,LR0001,Hot
15,-0.1676194745015398,0.1239387994781544,-0.0183348536206821,0.0609637070631357,-0.1492846208808577,0.1226257919636156,-0.0366697072413643,0.1219274141262715,-2985.6924176171538,2452.515839272312,0.0366697072413643,0.1219274141262715,2985.6924176171538,2452.515839272312,104618662.31330508,13.113584474885846,35040,8760.125,False,True,88,133,LR0001,Hot
16,-0.1677709817999661,0.1242252526638129,-0.0183994674368743,0.0610236718729326,-0.1493715143630917,0.1230158208369821,-0.0367989348737486,0.1220473437458653,-2987.430287261836,2460.3164167396435,0.0367989348737486,0.1220473437458653,2987.430287261836,2460.3164167396435,104679557.26565471,13.150684931506849,35040,8760.083333333334,False,True,88,133,LR0001,Hot
17,-0.1677449071173635,0.1240839794426553,-0.0183071633201131,0.0606157939484254,-0.1494377437972504,0.1230349939580986,-0.0366143266402262,0.1212315878968509,-2988.754875945009,2460.6998791619717,0.0366143266402262,0.1212315878968509,2988.754875945009,2460.6998791619717,104725970.85311311,13.113584474885846,35040,8760.125,False,True,88,133,LR0001,Hot
