episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_abs_comfort_penalty,std_abs_comfort_penalty,mean_abs_energy_penalty,std_abs_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
2,-0.16658285001552858,0.17161601105387234,-0.017106690553842983,0.06555019267410822,-0.1494761594616856,0.17289726514166462,-0.034213381107685965,0.13110038534821644,-2989.523189233713,3457.945302833292,0.034213381107685965,0.13110038534821644,2989.523189233713,3457.945302833292,104752892.5507493,8.515981735159817,35040,8760.083333333334,False,True
3,-0.16545721443619027,0.1712749196452624,-0.01738660279732422,0.06609562290304198,-0.148070611638866,0.17246130623263883,-0.03477320559464844,0.13219124580608396,-2961.4122327773202,3449.226124652777,0.03477320559464844,0.13219124580608396,2961.4122327773202,3449.226124652777,103767884.6365173,8.521689497716894,35040,8760.0625,False,True
4,-0.1669853510351007,0.171829307338937,-0.01684708969185047,0.06438460370669458,-0.15013826134325023,0.17333323128072006,-0.03369417938370094,0.12876920741338915,-3002.7652268650045,3466.6646256144018,0.03369417938370094,0.12876920741338915,3002.7652268650045,3466.6646256144018,105216893.54934976,8.570205479452055,35040,8760.083333333334,False,True
5,-0.1651041314465002,0.17064957129980599,-0.01749528708378383,0.06632309044879695,-0.14760884436271637,0.171763436921611,-0.03499057416756766,0.1326461808975939,-2952.176887254328,3435.2687384322203,0.03499057416756766,0.1326461808975939,2952.176887254328,3435.2687384322203,103444278.12939166,8.530251141552512,35040,8760.083333333334,False,True
6,-0.1664014921307296,0.1714917030097192,-0.016828388804865143,0.06458051713127193,-0.14957310332586443,0.1728988943553941,-0.033656777609730286,0.12916103426254386,-2991.462066517289,3457.9778871078815,0.033656777609730286,0.12916103426254386,2991.462066517289,3457.9778871078815,104820830.8107658,8.51027397260274,35040,8760.083333333334,False,True
7,-0.16650553982165722,0.17148371279315475,-0.01712867370961791,0.06524021121477833,-0.14937686611203926,0.17292133662790565,-0.03425734741923582,0.13048042242955665,-2987.5373222407857,3458.4267325581127,0.03425734741923582,0.13048042242955665,2987.5373222407857,3458.4267325581127,104683307.77131712,8.538812785388128,35040,8760.083333333334,False,True
8,-0.1665909191776284,0.17183756666394912,-0.017096950848871653,0.06518625284125584,-0.14949396832875675,0.1731981050869479,-0.034193901697743306,0.13037250568251169,-2989.879366575135,3463.962101738958,0.034193901697743306,0.13037250568251169,2989.879366575135,3463.962101738958,104765373.00479273,8.575913242009133,35040,8760.083333333334,False,True
9,-0.1665296237229508,0.172235666195255,-0.017370139885956436,0.06605115758331911,-0.14915948383699434,0.17344703845167014,-0.03474027977191287,0.13210231516663823,-2983.189676739887,3468.9407690334033,0.03474027977191287,0.13210231516663823,2983.189676739887,3468.9407690334033,104530966.27296564,8.584474885844749,35040,8760.0625,False,True
10,-0.16523631391900873,0.17075676961811695,-0.017077831387696227,0.06502107837228516,-0.1481584825313125,0.17204622391243188,-0.034155662775392455,0.13004215674457031,-2963.1696506262497,3440.9244782486376,0.034155662775392455,0.13004215674457031,2963.1696506262497,3440.9244782486376,103829464.55794379,8.547374429223744,35040,8760.083333333334,False,True
11,-0.16546390313765544,0.17115309202700754,-0.017367770203844998,0.06587296004383979,-0.14809613293381044,0.17233397537770506,-0.034735540407689995,0.13174592008767957,-2961.9226586762084,3446.6795075541013,0.034735540407689995,0.13174592008767957,2961.9226586762084,3446.6795075541013,103785769.96001434,8.58162100456621,35040,8760.0625,False,True
12,-0.167316127930332,0.1726493872263422,-0.017481264784488467,0.06644911064850167,-0.14983486314584354,0.17399554665431338,-0.034962529568976934,0.13289822129700335,-2996.6972629168695,3479.9109330862675,0.034962529568976934,0.13289822129700335,2996.6972629168695,3479.9109330862675,105004272.09260711,8.584474885844749,35040,8760.0625,False,True
13,-0.16589251487767184,0.17095694932632044,-0.01671230204116097,0.06404045880850258,-0.14918021283651087,0.1724040885519096,-0.03342460408232194,0.12808091761700516,-2983.604256730216,3448.0817710381925,0.03342460408232194,0.12808091761700516,2983.604256730216,3448.0817710381925,104545493.15582678,8.481735159817351,35040,8760.083333333334,False,True
14,-0.16661863605598598,0.17325271549235935,-0.017535347318789817,0.06695983835718788,-0.14908328873719615,0.17429167420655062,-0.035070694637579634,0.13391967671437577,-2981.665774743923,3485.833484131012,0.035070694637579634,0.13391967671437577,2981.665774743923,3485.833484131012,104477568.74702707,8.527397260273972,35040,8760.0625,False,True
15,-0.16599419627343473,0.1715194681614297,-0.01713268206639771,0.06513391733965207,-0.14886151420703703,0.17289326218875614,-0.03426536413279542,0.13026783467930414,-2977.2302841407395,3457.865243775123,0.03426536413279542,0.13026783467930414,2977.2302841407395,3457.865243775123,104322149.15629151,8.564497716894977,35040,8760.0625,False,True
16,-0.1678020295626991,0.17281776107314756,-0.01707882977925503,0.06486405585944657,-0.1507231997834441,0.1743635150433417,-0.03415765955851006,0.12972811171889315,-3014.4639956688825,3487.2703008668336,0.03415765955851006,0.12972811171889315,3014.4639956688825,3487.2703008668336,105626818.40823764,8.57876712328767,35040,8760.083333333334,False,True
17,-0.1659813842575489,0.1714627155637743,-0.016887998950496197,0.06419163797867014,-0.1490933853070527,0.17295793703927784,-0.033775997900992394,0.12838327595734028,-2981.8677061410544,3459.158740785557,0.033775997900992394,0.12838327595734028,2981.8677061410544,3459.158740785557,104484644.42318255,8.598744292237443,35040,8760.0625,False,True
18,-0.16604133299247714,0.17150616367982507,-0.01700685371956596,0.06480761796602579,-0.14903447927291122,0.17293881631682578,-0.03401370743913192,0.12961523593205157,-2980.689585458224,3458.776326336516,0.03401370743913192,0.12961523593205157,2980.689585458224,3458.776326336516,104443363.07445617,8.564497716894977,35040,8760.083333333334,False,True
19,-0.16664452933672422,0.1726418884121582,-0.017463064137184996,0.06649328374472087,-0.1491814651995392,0.17374584216348787,-0.03492612827436999,0.13298656748944174,-2983.629303990784,3474.916843269758,0.03492612827436999,0.13298656748944174,2983.629303990784,3474.916843269758,104546370.81183708,8.57876712328767,35040,8760.083333333334,False,True
20,-0.16686383175103403,0.17193384110455184,-0.017179092816322097,0.06534472669588674,-0.14968473893471196,0.17334890087532592,-0.03435818563264419,0.13068945339177349,-2993.6947786942387,3466.9780175065184,0.03435818563264419,0.13068945339177349,2993.6947786942387,3466.9780175065184,104899065.04544613,8.584474885844749,35040,8760.083333333334,False,True
21,-0.16671313254956846,0.1720310654208102,-0.01690646189309762,0.06456416203234958,-0.14980667065647088,0.1735165624407493,-0.03381292378619524,0.12912832406469915,-2996.1334131294175,3470.3312488149863,0.03381292378619524,0.12912832406469915,2996.1334131294175,3470.3312488149863,104984514.79605478,8.604452054794521,35040,8760.0625,False,True
