episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_abs_comfort_penalty,std_abs_comfort_penalty,mean_abs_energy_penalty,std_abs_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
2,-0.17921942133860874,0.21226993173314007,-0.01303001680466416,0.06677718708279537,-0.16618940453394457,0.2041079946971247,-0.02606003360932832,0.13355437416559074,-3323.788090678892,4082.1598939424935,0.02606003360932832,0.13355437416559074,3323.788090678892,4082.1598939424935,116465534.69738837,6.6923515981735155,35040,8760.05,False,True
3,-0.17942495092851682,0.2128676537097073,-0.013397998579183659,0.06860522731737549,-0.16602695234933315,0.2039196195864012,-0.026795997158367318,0.13721045463475098,-3320.5390469866625,4078.3923917280244,0.026795997158367318,0.13721045463475098,3320.5390469866625,4078.3923917280244,116351688.20641266,6.655251141552511,35040,8760.0625,False,True
4,-0.18103858120948738,0.21415812766794984,-0.01377298198918662,0.06852958511540821,-0.16726559922030074,0.20566522414288668,-0.02754596397837324,0.13705917023081643,-3345.3119844060147,4113.304482857733,0.02754596397837324,0.13705917023081643,3345.3119844060147,4113.304482857733,117219731.93358676,7.0091324200913245,35040,8760.0625,False,True
5,-0.1814140717790145,0.21414661863951115,-0.013908834020007971,0.07012941662157388,-0.16750523775900653,0.20438281888666904,-0.027817668040015942,0.14025883324314775,-3350.10475518013,4087.6563777333804,0.027817668040015942,0.14025883324314775,3350.10475518013,4087.6563777333804,117387670.62151174,6.917808219178082,35040,8760.05,False,True
6,-0.18063883559352406,0.2136471291998194,-0.014052040278890045,0.07003079530025806,-0.166586795314634,0.20443141726709677,-0.02810408055778009,0.14006159060051612,-3331.7359062926803,4088.6283453419355,0.02810408055778009,0.14006159060051612,3331.7359062926803,4088.6283453419355,116744026.15649551,7.109018264840182,35040,8760.0625,False,True
7,-0.18160418271748538,0.21453726493574785,-0.014916725907334916,0.07224250917350063,-0.16668745681015043,0.2044913661757225,-0.029833451814669832,0.14448501834700125,-3333.749136203009,4089.82732351445,0.029833451814669832,0.14448501834700125,3333.749136203009,4089.82732351445,116814569.73255344,7.23458904109589,35040,8760.0625,False,True
8,-0.18061520436367234,0.21377475267855722,-0.013777711254526648,0.06849049028523448,-0.16683749310914572,0.2053068244119704,-0.027555422509053296,0.13698098057046895,-3336.7498621829145,4106.136488239408,0.027555422509053296,0.13698098057046895,3336.7498621829145,4106.136488239408,116919715.17088932,6.989155251141553,35040,8760.0625,False,True
9,-0.18126849699797873,0.21455002167456927,-0.014159995980465825,0.07107630983688383,-0.16710850101751287,0.2048102225597752,-0.02831999196093165,0.14215261967376766,-3342.1700203502583,4096.204451195503,0.02831999196093165,0.14215261967376766,3342.1700203502583,4096.204451195503,117109637.51307304,6.920662100456621,35040,8760.05,False,True
10,-0.17939367505889187,0.21248148310526832,-0.013868231596001345,0.06942690750846833,-0.16552544346289047,0.2032526864685116,-0.02773646319200269,0.13885381501693667,-3310.50886925781,4065.0537293702314,0.02773646319200269,0.13885381501693667,3310.50886925781,4065.0537293702314,116000230.77879366,6.949200913242009,35040,8760.0625,False,True
11,-0.1803211601648583,0.21226169901253394,-0.014815881081706476,0.07115509833912932,-0.16550527908315182,0.20291127702319114,-0.029631762163412952,0.14231019667825864,-3310.1055816630355,4058.225540463822,0.029631762163412952,0.14231019667825864,3310.1055816630355,4058.225540463822,115986099.58147277,7.285958904109589,35040,8760.0625,False,True
