episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_abs_comfort_penalty,std_abs_comfort_penalty,mean_abs_energy_penalty,std_abs_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
2,-0.17833184640874006,0.21669358928857765,-0.010272475063914035,0.049986626245843276,-0.168059371344826,0.21712625945108754,-0.02054495012782807,0.09997325249168655,-3361.18742689652,4342.5251890217505,0.02054495012782807,0.09997325249168655,3361.18742689652,4342.5251890217505,117776007.43845406,6.8464611872146115,35040,8760.05,False,True
3,-0.17940641522937142,0.21711933485392457,-0.01027147290960154,0.05010656005879416,-0.16913494231976992,0.21757921818318704,-0.02054294581920308,0.10021312011758832,-3382.698846395398,4351.58436366374,0.02054294581920308,0.10021312011758832,3382.698846395398,4351.58436366374,118529767.57769474,6.712328767123288,35040,8760.05,False,True
4,-0.1793482929288131,0.21755648783097964,-0.010592796763635908,0.05144439951708122,-0.16875549616517718,0.2174700790947678,-0.021185593527271816,0.10288879903416244,-3375.109923303544,4349.401581895355,0.021185593527271816,0.10288879903416244,3375.109923303544,4349.401581895355,118263851.71255617,6.949200913242009,35040,8760.05,False,True
5,-0.1783022973976096,0.21535794088067664,-0.010432509918564979,0.049422565381583315,-0.16786978747904469,0.21618030074141886,-0.020865019837129958,0.09884513076316663,-3357.395749580893,4323.606014828378,0.020865019837129958,0.09884513076316663,3357.395749580893,4323.606014828378,117643147.0653145,6.883561643835616,35040,8760.05,False,True
6,-0.1801983343747945,0.21817011749118034,-0.010008563334251801,0.049150798258456425,-0.17018977104054273,0.2186919186687185,-0.020017126668503603,0.09830159651691285,-3403.7954208108545,4373.83837337437,0.020017126668503603,0.09830159651691285,3403.7954208108545,4373.83837337437,119268991.54521234,6.820776255707763,35040,8760.05,False,True
7,-0.17994161145220336,0.21717488306618066,-0.010088843033296125,0.04861700536346957,-0.16985276841890723,0.2180616503326174,-0.02017768606659225,0.09723401072693914,-3397.055368378145,4361.233006652348,0.02017768606659225,0.09723401072693914,3397.055368378145,4361.233006652348,119032820.1079702,6.820776255707763,35040,8760.05,False,True
8,-0.179070223406037,0.21632103965811045,-0.00982680887860782,0.0477510446649093,-0.16924341452742916,0.2171919945441274,-0.01965361775721564,0.0955020893298186,-3384.8682905485834,4343.8398908825475,0.01965361775721564,0.0955020893298186,3384.8682905485834,4343.8398908825475,118605784.90082237,6.626712328767123,35040,8760.05,False,True
9,-0.17756464865572386,0.21534617366510722,-0.010340205981161595,0.04981232877480096,-0.16722444267456224,0.21588448479559075,-0.02068041196232319,0.09962465754960192,-3344.4888534912443,4317.689695911815,0.02068041196232319,0.09962465754960192,3344.4888534912443,4317.689695911815,117190889.4263332,6.860730593607306,35040,8760.05,False,True
10,-0.17845524128633328,0.21652597798616463,-0.01021149901318197,0.04924850611284022,-0.16824374227315128,0.21710183939743646,-0.02042299802636394,0.09849701222568044,-3364.874845463026,4342.036787948729,0.02042299802636394,0.09849701222568044,3364.874845463026,4342.036787948729,117905214.58502443,6.709474885844749,35040,8760.05,False,True
11,-0.1794997341569913,0.21691433644186991,-0.009777846639250944,0.0482826003675109,-0.16972188751774037,0.21746477497424221,-0.019555693278501887,0.0965652007350218,-3394.4377503548076,4349.295499484844,0.019555693278501887,0.0965652007350218,3394.4377503548076,4349.295499484844,118941098.77243246,6.772260273972602,35040,8760.05,False,True
