episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_abs_comfort_penalty,std_abs_comfort_penalty,mean_abs_energy_penalty,std_abs_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
2,-0.18237746845638,0.21523247953437596,-0.008147450169501977,0.04903082658269918,-0.17423001828687798,0.2141331346201487,-0.016294900339003954,0.09806165316539836,-3484.60036573756,4282.662692402974,0.016294900339003954,0.09806165316539836,3484.60036573756,4282.662692402974,122100396.8154441,4.848744292237443,35040,8760.0625,False,True
3,-0.18317439016725284,0.2163633355590359,-0.008277827279499106,0.049799899010909865,-0.1748965628877537,0.2151422871001732,-0.016555654558998212,0.09959979802181973,-3497.9312577550745,4302.845742003463,0.016555654558998212,0.09959979802181973,3497.9312577550745,4302.845742003463,122567511.27173781,4.894406392694064,35040,8760.0625,False,True
4,-0.18442138396891777,0.21783359290323856,-0.00820662606533472,0.04945618560602095,-0.17621475790358307,0.2168471881118784,-0.01641325213066944,0.0989123712120419,-3524.295158071661,4336.943762237568,0.01641325213066944,0.0989123712120419,3524.295158071661,4336.943762237568,123491302.338831,4.840182648401827,35040,8760.05,False,True
5,-0.1825651954306685,0.21547167134115983,-0.008190644270489175,0.049739171893201234,-0.17437455116017936,0.21432697297259867,-0.01638128854097835,0.09947834378640247,-3487.491023203587,4286.539459451973,0.01638128854097835,0.09947834378640247,3487.491023203587,4286.539459451973,122201685.45305368,4.8687214611872145,35040,8760.0625,False,True
6,-0.1825636393357373,0.21490193270969665,-0.007959194402650305,0.04799373361236348,-0.174604444933087,0.213885854605684,-0.01591838880530061,0.09598746722472697,-3492.088898661739,4277.717092113679,0.01591838880530061,0.09598746722472697,3492.088898661739,4277.717092113679,122362795.00910734,4.851598173515981,35040,8760.05,False,True
7,-0.18231595659786773,0.21583178540166886,-0.008355730964060362,0.05058380481879474,-0.17396022563380736,0.21448414210595904,-0.016711461928120723,0.10116760963758949,-3479.204512676146,4289.68284211918,0.016711461928120723,0.10116760963758949,3479.204512676146,4289.68284211918,121911326.12417215,4.8144977168949765,35040,8760.0625,False,True
8,-0.18302615564474153,0.2159411166876544,-0.008049618329781827,0.05013151397622177,-0.17497653731495974,0.2145276566655604,-0.016099236659563653,0.10026302795244355,-3499.5307462991946,4290.5531333112085,0.016099236659563653,0.10026302795244355,3499.5307462991946,4290.5531333112085,122623557.35032378,4.648972602739726,35040,8760.0625,False,True
9,-0.18419287795484257,0.21698390861694353,-0.008194725655798603,0.049789002699037466,-0.17599815229904398,0.21582310906301957,-0.016389451311597206,0.09957800539807493,-3519.963045980878,4316.462181260391,0.016389451311597206,0.09957800539807493,3519.963045980878,4316.462181260391,123339505.13116997,4.78310502283105,35040,8760.0625,False,True
10,-0.18391976521882655,0.2166410113321766,-0.00814813544352553,0.04915789510157723,-0.17577162977530097,0.21563784377613443,-0.01629627088705106,0.09831579020315447,-3515.432595506019,4312.756875522688,0.01629627088705106,0.09831579020315447,3515.432595506019,4312.756875522688,123180758.14653091,4.7659817351598175,35040,8760.0625,False,True
11,-0.18249059091573963,0.21622440582948488,-0.008352120116994557,0.05068637832501346,-0.17413847079874506,0.21469143390547069,-0.016704240233989115,0.10137275665002692,-3482.769415974901,4293.828678109414,0.016704240233989115,0.10137275665002692,3482.769415974901,4293.828678109414,122036240.33576053,4.857305936073059,35040,8760.0625,False,True
12,-0.18156577356798714,0.214233322537954,-0.00803242611866594,0.04894108461641299,-0.1735333474493212,0.21299098392143292,-0.01606485223733188,0.09788216923282599,-3470.666948986424,4259.819678428658,0.01606485223733188,0.09788216923282599,3470.666948986424,4259.819678428658,121612169.89248429,4.785958904109589,35040,8760.05,False,True
13,-0.18237525898070897,0.21583262854749394,-0.008565021264115203,0.05052332738940347,-0.17381023771659374,0.21451328192317679,-0.017130042528230405,0.10104665477880694,-3476.2047543318754,4290.265638463536,0.017130042528230405,0.10104665477880694,3476.2047543318754,4290.265638463536,121806214.59178892,4.894406392694064,35040,8760.05,False,True
14,-0.1831938299151436,0.21621779736552954,-0.008498452952404997,0.051789917293966085,-0.17469537696273862,0.214226138950599,-0.016996905904809994,0.10357983458793217,-3493.9075392547725,4284.522779011979,0.016996905904809994,0.10357983458793217,3493.9075392547725,4284.522779011979,122426520.17548722,4.843036529680365,35040,8760.0625,False,True
